movie_title,reviewer,review,rating_given
Argylle,MovieGuys,"Cringe worthy nonsense, loaded down with puerile premise after puerile premise, predictable, done to death action and irritating characterisations. 

I managed about half of this before walking away. The US entertainment industry really is a bit of a bad joke these days.",4.0
Dune: Part Two,Manuel São Bento,"FULL SPOILER-FREE REVIEW @ https://talkingfilms.net/dune-part-two-review-the-new-generational-epitome-of-sci-fi-epics/

""Dune: Part Two surpasses even the highest expectations, establishing itself as an unquestionable technical masterpiece of blockbuster filmmaking.

With a narrative that deepens the complex web of political relationships, power, faith, love, and destiny, it not only provides a breathtaking audiovisual spectacle, thanks to the genius of Denis Villeneuve, Greig Fraser, and Hans Zimmer, but it also offers a profound meditation on universal human themes through thematically rich world-building and thoroughly developed characters. The superb performances of the entire cast, led by a career-best Timothée Chalamet and a mesmerizing Zendaya, further elevate this incredibly immersive cinematic experience.

It warrants comparisons with the greatest sequels in history, easily becoming the new generational epitome of sci-fi epics.""

Rating: A+",10.0
Dune: Part Two,r96sk,"As anticipated, a thrilling watch!

I enjoyed <em>'Dune'</em>, though remember thinking it was obviously a complete set-up to a sequel and that this would only improve upon its predecessor - and that's very much the case. <em>'Dune: Part Two'</em> is excellent! My interest did wane slightly at roughly the middle part, as was similarly the case with the first film in truth, but that was a feeling that only lasted for a relativiely short time.

All in all, it's fantastic. The acting is top notch, the visuals are breathtaking <em>(those sandworms tho)</em> and the score is outstandingly hefty - you can always rely on the great Hans Zimmer! Timothée Chalamet stars yet again, as do the likes of Rebecca Ferguson, Zendaya, Dave Bautista & Co. The person I actually enjoyed most on screen was Javier Bardem, who is truly brilliant throughout. 

Bring on <em>'Dune Messiah'</em>! On that note, happy to read that director Denis Villeneuve has noted that he won't be rushing that one out - and rightly so!",9.0
Dune: Part Two,CinemaSerf,"This is certainly a great looking film to see on a big screen with some really effective, almost industrially sounding, audio - but what happened to the story? It's wafer thin and really stretched out for 2¾ hours. We pick up with ""Paul"" (Timothée Chalamet) and his mother (Rebecca Ferguson) trying to convince the ""Fremen"" that they are worth the hassle. Fortunately, leader ""Stilgar"" (Javier Bardem) is convinced of the messianic state of the young refugee, whilst their own reverend mother is on her last legs which might give ""Jessica"" a chance to prove her own worth, and provide an opportunity to peddle some embellished mythology about her son's ascendant propheteering. All of this manoeuvring and politicking is having quite an impact on ""Chani"" (the under-used Zendaya) and on the relationship between her and the increasingly worshipped new Duke. Meantime, now fully reinvigorated and emerged from his bath of recuperative Guinness, the evil ""Baron Harkonnen"" (an almost Zeppelin-like Stellan Skarsgård) has recruited his lethal nephew ""Feyd-Rautha"" (Austin Butler) to get to grips with the rebellion on ""Arrakis"" that is bringing him into the gaze of an ill-satisfied emperor (Christopher Walken). Battle lines are drawn! Now whilst I did enjoy this, the rest of the film is a gloriously photographed but slowly paced hybrid of ""Khartoum"" (1966) and ""Lawrence of Arabia"" (1962) with a bit of the ""Phantom Menace"" (1999) thrown in for good measure. The acting is adequate but the characterisations are all too routinely sacrificed at the altar of the stunning visuals and from about an hour to go, I was convinced this this was but part two of three (or maybe even more). Walken and Charlotte Rampling feature all too sparingly to make much difference, indeed even Zendaya's warrior-like tendencies seem to have been neutered rather and I though that Chalamet just tried far too hard to imbue his character with a strength that he was far more successful with first time round. That said, it does work well enough as a classy and well produced sci-fi adventure with plenty of action and mysticism but I needed more meat on it's bones. I still get distinctly squeamish when I watch what they do with the water, let alone where they get it from!!",7.0
Dune: Part Two,Chandler Danier,Great but a little long. Sexier than LotR and no hair. Yell acting. Jabba bathes in black goo and kills women horribly. Walken is hilarious. Zendaya still an addict. Bridges is a bit self-serious. Amazing visuals. Really enjoyed...was glad and a bit bored by the end. Shorter Dunes please.,9.0
Code 8 Part II,MovieGuys,"The first Code 8 movie, was never going to be an award winner but at least it had an element of danger, pacing and excitement. 

Regrettably, its sequel, seems to be more a vehicle for woke tropes than  an actual sci fi film. It appears to be mostly about people from diverse backgrounds being either abused by ""the system"" or co-opted into it, as state sponsored abusers. 

The results feels like what it is. A moral statement viewed from a particular point of view, rather than an exciting, sci fi film, which is what, in this reviewers opinion, it should have been. 

Its slow paced, not terribly exciting and really goes nowhere interesting but then, how could it? 

In summary, I, for one, am sick and tired of having simple escapist entertainment hi-jacked to peddle a specific world view. That is what activism and social commentary are for. Of course, the irony too, is the harder this kind of thing is foisted on people, in my experience, the more they tend to reject it.",4.0
Code 8 Part II,Chandler Danier,This was a lot of Code 8 to watch in a short period of time. I definitely skipped through large portions of this film. It seemed like the first film. I maybe should not have watched the first film. Aibo was a dumb idea. Super cute and sweet ending. Fun sequences. A little long.,6.0
Poor Things,Manuel São Bento,"FULL SPOILER-FREE REVIEW @ https://fandomwire.com/poor-things-venice-film-festival-review-emma-stone-shines-in-the-best-film-of-the-year-so-far/

""Not only is Poor Things the best movie of the festival, but it's also the best of the year so far, as well as a new personal favorite of Yorgos Lanthimos' career.

A brilliantly thought-provoking, insanely hilarious story packed with substance, focused on a fascinating self-discovery journey filled with thematically rich layers. Astonishing performances from the entire cast, but Emma Stone is truly impressive as an exceptionally expressive force who should win many awards.

A technical masterclass across all filmmaking areas simply puts the icing on top of a near-perfect cake.""

Rating: A",9.0
Poor Things,Brent Marchant,"When the circumstances of our lives don’t suit us, it’s time to reinvent ourselves – something that happens both literally and metaphorically in this latest offering from director Yorgos Lanthimos. But the way that result comes about here represents a truly inspired fusion of genres, including comedy, romance, social commentary and sci-fi, making for one of the most inventive, unusual and hilarious releases of recent years. This offbeat feminist fable tells the story of how a pregnant, young, anonymous suicide victim (Emma Stone) is reanimated with the aid of a brain transplant from her unborn fetus, an achievement accomplished by a colorful, controversial but well-meaning surgeon/scientist a la Dr. Frankenstein (Willem Dafoe). He nurtures his subject back to life, health and sentience, a sometimes-challenging process that finally surfaces when she discovers sexuality, the trigger for exploring a new, independent life for herself, both physically and emotionally. Through a series of adventures over the course of a trip through Europe with a free-wheeling, lusty but lecherous, self-serving lawyer (Mark Ruffalo), she finds herself as a self-actualized woman in an age where that’s more of a rarity than a standard, particularly in a world where men treat women more like property than people. While the film’s pacing could use some shoring up in the middle, this offering nevertheless entertains with uproarious laughs throughout, even when the narrative turns more thoughtful and substantive. The superb performances by Stone, Dafoe and Ruffalo are top shelf, contributing to the picture’s whopping 13 Critics Choice Award and 7 Golden Globe Award nominations. The film is also visually stunning in its cinematography and editing, as well as in its spectacular and whimsical production design, filled with images reminiscent of the movies of Wes Anderson and Terry Gilliam while sustaining a look all its own. Admittedly, this release features a good deal of explicit sexuality, both visually and in the dialogue, so sensitive viewers should take note. However, as one of the most anticipated pictures of this year’s awards season, “Poor Things” never disappoints, serving up a solid offering that consistently tickles the funny bone while giving audiences much to think about – and there’s nothing poor in any of that.",8.0
Poor Things,CinemaSerf,"It's almost as if Yorgos Lanthimos had sat down for a transcendental conversation with James Whale! Student ""Max"" (Ramy Youssef) is a student recruited by his professor ""Godwin"" (Willem Dafoe - aka ""God"") to come and help him work on his latest project. She's called ""Bella"" (Emma Stone) and it soon transpires that she is the product of some very creative surgery on the part of ""God"" - a man who has, himself, had one or two experiences under the knife at the hands of his scientist father! You see, a pregnant woman took her own life by jumping from a bridge, but was luckily fished out of the water before her baby died. The surgeon managed to deliver the baby then replace the dead brain of the adult with the one from the nascent infant! Needless to say, ""Bella"" is on an actively steep learning curve and is quite capable of throwing the odd tantrum to get what she wants - and that is, initially, to go out and explore. Gradually more empowered, and a little more mature, she discovers the delights of the orgasm - and after that there's no stopping her. ""God"" tries to control her by suggesting a marriage to ""Max"" but he insists on such a fastidious contract that ""Duncan"" (Mark Ruffalo) concludes she must be worth investigating. He meets her and offers her her dreams, she convinces ""God"" to let her go with him and soon she is embarked on a trip around Europe enjoying the frequent delights of ""furious jumping""! The always learning woman soon tires of her beau, and realises that she can have loads of fun and earn at the same time - before ""God"" falls ill and she must return home to not just that life, but surprisingly to the one she thought she had left behind on the bridge. This film is genuinely laugh-out-loud at times, and the performance from Emma Stone has to be her best. She plays the almost porcelain-like and childish ""Bella"" when we meet her expertly, and that skill prevails as her character evolves into a savvy, street-smart and capable woman who quickly learns to fight fire with fire. Ruffalo is also on super form as her travelling companion and Kathryn Hunter also turns in a solid performance as her Parisian paymaster ""Swiney"". The narrative takes us on a fantastic tour of European cities, but also on a wonderfully evocative tour of humanity - warts and all. ""Bella"" has a practical and analytical mind that at times seems ludicrously detached, then somehow she ends up having got it right all along. It might look a bit long at just shy of 2½ hours but it really flies by and I couldn't help but feel sorry for the poor billy goat at the end of this creatively interpreted and very well adapted story of what were originally supposed to be Glaswegian hotspots!",7.0
Poor Things,r96sk,"Superb! It's quite the ride!

I don't have the film school-esque analysis to adequately describe all this, so I'll very much leave that to others. What I can note, though, is that I had a great time watching <em>'Poor Things'</em>. It's incredible. I have many a positive, though the main one is obvious: Emma Stone. All I can say is: Bravo! A truly outstanding performance!

Another major, major plus is the music. Wow! Sensational. It's so commanding throughout, blowing me away in what felt like every few minutes... and yet, it never distracts or takes you out from any scene unfolding onscreen. One of the greatest scores I've heard in a very long time. That aside, the visuals are amazing - from the colours to the sets, major props to all those behind the scenes. It all looks exquisite.

Stone isn't alone in impressing, as Willem Dafoe is brilliant too - loved his showing in this, the accent is particularly well fitting. Mark Ruffalo is praiseworthy too, as is everyone else to be honest - e.g. Ramy Youssef and Kathryn Hunter. They all partake in a quite bizarre plot, but one that is absolutely absorbing from beginning to conclusion.

Pre-watch I was somewhat expecting that this was going to be one of those (having not researched anything, as per) overly artsy flicks that I wouldn't connect with, delightfully I was totally wrong. I also felt, when Christopher Abbott's character appears, that the film should've ended earlier, though again I was incorrect because the film simply manages to continue at such a hugh quality.

To wrap it up: I loved it. Credit to all involved.",10.0
Poor Things,BornKnight,"Fantasy drama- comedy adult film directed by Yorgos Lanthimos (The Killing of the Sacred Deer, The Lobster, The Favourite) and written by Tony McNamara (The Great, The Favorite, Cruella), being based on the 1992's novel by Alasdair Gray, that Lanthimos liked and even went to Scotland in 2009 to buy the direct of the movie.

Having a victorian semi-steampunk and exquisite atmosphere it tells the story of a newly created woman Bella Baxter, with her body reanimated by the eccentric surgeon Godwin Baxter, that discovering that after her suicide jumping a bridge she was pregnant, and uses the unborn fetus brain on her head.

After this she went on a journey from a Frankenstein character and develops her tastes and skills gradually till the end of the filme. I must say that some sexual scenes with Emma Stone and her character sexual appetite are most daring and shows how she grow as and actress in all aspect.

The main core of roles are Emma Stone as Bella Baxter, Mark Ruffalo as Duncan Wedderburn, Willem Dafoe as Dr. Godwin Baxter and as a lesser role Ramy Youssef as Max McCandles.

According to the cinematographer, Ryan Williams (American Honey, The Favorite) in conjunction with the director Lanthimos used an array of cameras, lens and films included Nikon, Angenieux Optimo and Zeiss Master Zooms, an ultra-wide PL-mount Optex 4mm fisheye, designed for 16mm/S16mm cinematography, that opens up to T2, plus antique 58mm and 85mm Petzvals. Ryan selected EASTMAN DOUBLE-X Black & White Negative Film 5222 for the movie's opening B&W sequences, KODAK EKTACHROME Color Reversal Film 100D 5294 for Bella's elopement and adventures with Wedderburn, and KODAK VISION3 500T Color Negative Film 5219 for the film's denouement.

The production design by Shona Heath	and James Price and the equip of art direction and prosthetics made and incredible job plus with the unique costume design by Holly Waddington (Lady MacBeth, Clash of Titans) also are striking, from the more bizarre childish dresses used on the start of the film to the more adut  on the end. All this with a modest budget of $35 million.

The movie have 11 Academy nominations for Best Achievement in Makeup and Hairstyling, Best Achievement in Music Written for Motion Pictures (Original Score), Best Motion Picture of the Year, Best Achievement in Directing, Best Performance by an Actress in a Leading Role, Best Performance by an Actor in a Supporting Role, Best Adapted Screenplay, Best Achievement in Cinematography, Best Achievement in Film Editing, Best Achievement in Production Design, Best Achievement in Costume Design and  already have 11 BAFTA awards plus Venice Film Festival 2 awards, Golden Lion Best Film and Yorgos Lanthimos 2023 Winner UNIMED Award.

I honestly hope that the movie shines and it shinned for me and obfuscated some other movies (maybe only not in best co-adjuvant actress - which we don't have here) at the academy.",9.0
Poor Things,Chandler Danier,"How old when they start banging her? Very much a baby when she's a hot retard. If this isn't proof of pizzagate, I don't know what is.

Recommend watching as much as possible in the theatres and retiring to your most leisurely of spots for a pirated ending. Super enjoyable performances. Violent. Sensual. Lots of titties. A little long.",6.0
Land of Bad,Manuel São Bento,"FULL SPOILER-FREE REVIEW @ https://fandomwire.com/land-of-bad-review-an-engaging-yet-flawed/

""Land of Bad offers an engaging yet flawed rescue operation that should please most viewers seeking adrenaline-driven entertainment. With excellent performances across the board, William Eubank employs fast pacing, high-intensity shootout sequences with a few interesting stylistic choices, and basic yet riveting storytelling.

Character development and thematic depth remain surface-level, and the third act’s plot conveniences contrast with the realism of previous segments, but the film ultimately accomplishes what it promised, providing enough moments of tension empowered by a potent score to still reach the shore.""

Rating: B-",6.0
Land of Bad,Chandler Danier,I appreciate a lazy man. Sitting around angry in a car. Sitting around angry in a drone chair. Crowe is really doing it well. Cool explosions. Lots of guns. You can figure out if you like this movie by the box art. Didn't really believe the main plot shift or the disposition of the lead. Would have scored 2 higher if it was 30 minutes shorter. Basketball/pregnancy side plot would have been an easy way to cut all that. Get out the chair skinny boy. Fatties know how to drone.,6.0
Land of Bad,MovieGuys,"Land of Bad is yet another bland production line, pro US military, action flick.

Coming kitted out with the usual pro US exceptionalism and bad guys who have a valid point about imperialism but are still ""bad"" anyway, this film offers nothing even remotely original or in this reviewers opinion, terribly likeable.

The characters are your usual array of entitled, obnoxious, US military types, who go on a flawed escapade in someone else's country to retrieve a CIA asset. Things turn sour and well the rest is your by the book, bravado, darning do, bravery, codswallop.

Fight scenes are frenetic, well paced and impressive. Lots of pyrotechnics and slow motion bullet and shell casing shots.Certainly from an exposition point of view, this film is not dull. 

Acting is unremarkable but its the story that really leaves a lot to be desired. Putting aside its predictable bias, this tale is cliched, pedestrian and utterly predictable. Its essentially, every stale, second rate, US military action flick, you have ever seen with Australians and New Zealanders, in the lead.  

In summary, a film loaded down with tired pro US sentiment that's thoroughly unoriginal. Really only watchable in terms of its admittedly fast paced and elaborate, exposition.",5.0
Land of Bad,hamfaceman,Russel Crowe did a pretty good job. There were a bunch of explosions n stuff. It was alright I guess.,5.0
Migration,CinemaSerf,"""Mack"" and wife ""Pam"" live contentedly on their pond and are preparing for winter when some migrating ducks break their journey and infect their kids ""Gwen"" and ""Dax"" with the travelling bug. ""Mack"" is adamant that staying home is the best strategy, but the arrival of ""Uncle Dan"" and his daughter's persistence soon persuade him that a trip to Jamaica wouldn't be a bad idea. Off they go and en route encounter the dangers of the big city. That's where they meet the scrawniest but meanest of pigeons ""Chump"" who, after a bit of tussle over a sandwich, agrees to introduce them to the only bird that might know the way to the Caribbean. Snag? Well, he's caged up in a restaurant and the terrifying master-chef keeps the key on his jacket at all times. Can they get the key, free ""Delroy"" the macaw, and then escape the pursuing vengeance of the tattooed, pony-tailed, man with the kitchen knives? The animation is detailed and it's quite watchable this film, but it reminded me quite a lot of ""Ratatouille"" (2007) meets ""Chicken Run"" (2000). There's plenty of colourful action and the narrative does imbue some character into the two children, particularly, but otherwise it's all just a wee bit procedural. It's at the better end of the Illumination factory production line, but it's not a film anyone will likely remember and it did rather shout sequel at me too.",6.0
Anyone But You,CinemaSerf,"Despite myself, I actually quite enjoyed this. After (what looked like) a platonic one night stand, ""Bea"" (Sydney Sweeney) and ""Ben"" (Glen Powell) manage to part company loathing one another. Serendipity has no intention of allowing this to be the end of things though, and so arranges for her sister to marry one of his best friends. After a few uncomfortable meetings in a bar, they all head off to Australia for the nuptials. Her parents are very keen to get her back with ex ""Jonathan"" (Darren Barnet) whilst his ex ""Margaret"" (Charlee Fraser) is also there. Against their better judgment our two decide to pretend to be a couple to provoke envy from one and protect the other from the intent of the meddling parents. What now ensues does really depend on a plausible degree of chemistry between Sweeney and Powell and I thought they did quite well. A little bit more meddling from Bryan Brown, some Di Caprio-esque action at the front of a yacht and some kindly support from the Sydney harbour rescue helicopter helps keep this amiably jogging along for an admittedly twenty minutes too long 1¾ hours. It's quite pithily written and manages to avoid the worst in both American and Australian stereotypes. It also isn't shy of sex, comic nudity and a bit of practical adult humour that makes a change from the usual puerile smut we are so frequently offered nowadays. It's entirely forgettable, but is an enjoyable enough dollop of sun, sea, sex and silliness.",7.0
Anyone But You,r96sk,"Imperfect, though <em>'Anyone But You'</em> does deliver amusing moments and works nicely as a romcom.

It usually isn't the best sign when the end credits are a film's best bit, which is the case here (s/o Natasha Bedingfield!), though thankfully that statement is only an additional positive for this Will Gluck directed movie. It does do clichés, but does at least add some freshness to the genre.

Sydney Sweeney and Glen Powell portray great chemistry, I enjoyed both performances. Sweeney's stylist killed it I gotta say, heck even Powell's too. Some of their, and others', dialogue is too manufactured  at times, but that be just a minor complaint to be honest. The rest of those onscreen are satisfactory. I must say the director's father, Peter Gluck, gave me one of the film's stronger chuckles in his tiny role on the plane sat next to Sweeney - perfect line delivery!

I had fun with this. As already noted, it isn't anything all that standout but it delivered what I evidently wanted. Solid. The William Shakespeare stuff was a bit forced, mind you.",7.0
Oppenheimer,Manuel São Bento,"FULL SPOILER-FREE REVIEW @ https://www.firstshowing.net/2023/review-nolans-oppenheimer-is-a-harrowing-tale-of-one-mans-life/

""Oppenheimer is a true masterclass in how to build extreme tension and suspense through fast, detailed dialogue, an insanely powerful sound production, and an equally explosive score from Ludwig Göransson. Words cannot fully describe Hoyte van Hoytema's gorgeous cinematography.

It's a harrowing, disturbing, genuinely frightening story about how one man's compulsion and political power changed the world. Cillian Murphy, Robert Downey Jr., and Emily Blunt shouldn't miss any awards ceremonies… they're absolutely superb, as are the rest of the exceptional actors involved in the movie.

Pacing, structure, and runtime, in addition to its quasi-documentary style and its narrative complexity, make this a difficult, heavy watch that will, for sure, leave some viewers disappointed, bored, or simply tired. Ultimately, Christopher Nolan justifies the use of the expression ""not for everyone"".

Rating: A-",8.0
Oppenheimer,fireheart92,"**OPPENHEIMER IS ""NOT FOR EVERYONE"" AS STATED BY CHRISTROPHER NOLAN BEFORE THE RELEASE OF THE FILM HIMSELF. ** But those who have ample knowledge of physics and chemistry, this film is a masterpiece. The film takes the viewer into the mind of the ""Father of the atomic bomb"" how he thinks, how he feels with much accuracy. Nolan beautifully explains his life both on a private and professional front. The music, the sounds with each scene are top notch. The visuals of QUANTUM PHYSICS, FISSION, NUCLEAR EXPLOSION are mind-boggling. 

If possible, watch it in IMAX. 

THE MOVIE IS FULL OF DIALOGUES, CONVERSATIONS MOVING BACK AND FORTH IN TIMELINE. It's a historical biography with fantabulous acting by C.M., E.B., R.D.J. and more. The scenes with ALBERT EINSTEIN are just wow. A plethora of scientists(BOHR, FERMI, TELLER, HEISENBERG) of the age can be seen throughout.  There are no action scenes if you are in search of that. 

IT IS A CINEMATOGRAPHIC BRILLIANCE. IF U CAN'T WATCH SIENTIFIC HISTORY JUST DON'T GO.",10.0
